expense_id,fund_code,expense_type,expense_category,vendor_name,expense_date,expense_amount,expense_currency,description,invoice_number,approval_status,payment_status,payment_date,allocated_to_investments,created_date,last_modified_date,fx_rate,fx_rate_as_of,fx_rate_source
EXP-001,FUND-001,Legal Fees,Professional Services,Kirkland & Ellis LLP,2022-08-31,125000,USD,Legal fees for TechFlow Solutions acquisition,INV-2022-0815,Approved,Paid,2022-09-15,INV-001,2022-08-15,2022-09-15,1.0,2022-08-31,ADMIN
EXP-002,FUND-001,Due Diligence,Professional Services,McKinsey & Company,2022-08-15,75000,USD,Commercial due diligence for TechFlow Solutions,INV-2022-0820,Approved,Paid,2022-09-01,INV-001,2022-08-10,2022-09-01,1.0,2022-08-15,ADMIN
EXP-003,FUND-001,Fund Administration,Administrative,State Street Corporation,2022-09-30,37500,USD,Quarterly fund administration fees,INV-2022-0930,Approved,Paid,2022-10-15,General,2022-09-25,2022-10-15,1.0,2022-09-30,ADMIN
EXP-004,FUND-001,Audit Fees,Professional Services,PricewaterhouseCoopers LLP,2022-12-31,85000,USD,Annual audit fees for fund financial statements,INV-2022-1231,Approved,Paid,2023-01-31,General,2022-12-20,2023-01-31,1.0,2022-12-31,ADMIN
EXP-005,FUND-001,Legal Fees,Professional Services,Kirkland & Ellis LLP,2022-11-30,180000,USD,Legal fees for RetailMax Holdings acquisition,INV-2022-1130,Approved,Paid,2022-12-15,INV-002,2022-11-15,2022-12-15,1.0,2022-11-30,ADMIN
EXP-006,FUND-001,Due Diligence,Professional Services,Bain & Company,2022-11-15,95000,USD,Commercial due diligence for RetailMax Holdings,INV-2022-1115,Approved,Paid,2022-12-01,INV-002,2022-11-10,2022-12-01,1.0,2022-11-15,ADMIN
EXP-007,FUND-001,Fund Administration,Administrative,State Street Corporation,2022-12-31,45000,USD,Quarterly fund administration fees,INV-2022-1231-2,Approved,Paid,2023-01-15,General,2022-12-25,2023-01-15,1.0,2022-12-31,ADMIN
EXP-008,FUND-002,Legal Fees,Professional Services,Freshfields Bruckhaus Deringer,2022-09-30,165000,EUR,Legal fees for MedDevice Innovations acquisition,INV-2022-0930-EU,Approved,Paid,2022-10-15,INV-004,2022-09-20,2022-10-15,1.0,2022-09-30,ADMIN
EXP-009,FUND-002,Due Diligence,Professional Services,Boston Consulting Group,2022-09-15,110000,EUR,Commercial due diligence for MedDevice Innovations,INV-2022-0915-EU,Approved,Paid,2022-10-01,INV-004,2022-09-10,2022-10-01,1.0,2022-09-15,ADMIN
EXP-010,FUND-002,Fund Administration,Administrative,BNP Paribas Securities Services,2022-12-31,42500,EUR,Quarterly fund administration fees,INV-2022-1231-EU,Approved,Paid,2023-01-15,General,2022-12-20,2023-01-15,1.0,2022-12-31,ADMIN
EXP-011,FUND-002,Legal Fees,Professional Services,Freshfields Bruckhaus Deringer,2022-12-20,95000,EUR,Legal fees for European Pharma co-investment,INV-2022-1220-EU,Approved,Paid,2023-01-10,INV-005,2022-12-15,2023-01-10,1.0,2022-12-20,ADMIN
EXP-012,FUND-003,Legal Fees,Professional Services,Wilson Sonsini Goodrich & Rosati,2023-04-25,85000,USD,Legal fees for BioTech Ventures investment,INV-2023-0425,Approved,Paid,2023-05-10,INV-006,2023-04-15,2023-05-10,1.0,2023-04-25,ADMIN
EXP-013,FUND-003,Due Diligence,Professional Services,L.E.K. Consulting,2023-04-10,65000,USD,Commercial due diligence for BioTech Ventures,INV-2023-0410,Approved,Paid,2023-04-25,INV-006,2023-04-05,2023-04-25,1.0,2023-04-10,ADMIN
EXP-014,FUND-003,Fund Administration,Administrative,Northern Trust Corporation,2023-06-30,26250,USD,Quarterly fund administration fees,INV-2023-0630,Approved,Paid,2023-07-15,General,2023-06-25,2023-07-15,1.0,2023-06-30,ADMIN
EXP-015,FUND-004,Legal Fees,Professional Services,Latham & Watkins LLP,2021-02-28,125000,USD,Legal fees for infrastructure debt facility,INV-2021-0228,Approved,Paid,2021-03-15,INV-008,2021-02-20,2021-03-15,1.0,2021-02-28,ADMIN
EXP-016,FUND-004,Due Diligence,Professional Services,Oliver Wyman,2021-02-15,95000,USD,Technical due diligence for infrastructure projects,INV-2021-0215,Approved,Paid,2021-03-01,INV-008,2021-02-10,2021-03-01,1.0,2021-02-15,ADMIN
EXP-017,FUND-004,Fund Administration,Administrative,The Bank of New York Mellon,2021-03-31,62500,USD,Quarterly fund administration fees,INV-2021-0331,Approved,Paid,2021-04-15,General,2021-03-25,2021-04-15,1.0,2021-03-31,ADMIN
EXP-018,FUND-005,Legal Fees,Professional Services,Skadden Arps Slate Meagher & Flom,2023-02-28,45000,USD,Legal fees for distressed investment analysis,INV-2023-0228,Approved,Paid,2023-03-15,General,2023-02-20,2023-03-15,1.0,2023-02-28,ADMIN
EXP-019,FUND-005,Due Diligence,Professional Services,AlixPartners,2023-02-15,75000,USD,Restructuring due diligence services,INV-2023-0215,Approved,Paid,2023-03-01,General,2023-02-10,2023-03-01,1.0,2023-02-15,ADMIN
EXP-020,FUND-006,Legal Fees,Professional Services,Cooley LLP,2022-12-05,95000,USD,Legal fees for AgriTech Solutions investment,INV-2022-1205,Approved,Paid,2022-12-20,INV-009,2022-11-25,2022-12-20,1.0,2022-12-05,ADMIN
EXP-021,FUND-006,Due Diligence,Professional Services,Deloitte Consulting,2022-11-20,70000,USD,Commercial due diligence for AgriTech Solutions,INV-2022-1120,Approved,Paid,2022-12-05,INV-009,2022-11-15,2022-12-05,1.0,2022-11-20,ADMIN
EXP-022,FUND-006,Fund Administration,Administrative,JPMorgan Chase Bank,2022-12-31,29000,USD,Quarterly fund administration fees,INV-2022-1231-F6,Approved,Paid,2023-01-15,General,2022-12-25,2023-01-15,1.0,2022-12-31,ADMIN
EXP-023,FUND-001,Legal Fees,Professional Services,Kirkland & Ellis LLP,2023-05-15,155000,USD,Legal fees for CloudSoft Systems acquisition,INV-2023-0515,Approved,Paid,2023-06-01,INV-003,2023-05-05,2023-06-01,1.0,2023-05-15,ADMIN
EXP-024,FUND-001,Due Diligence,Professional Services,McKinsey & Company,2023-05-01,85000,USD,Commercial due diligence for CloudSoft Systems,INV-2023-0501,Approved,Paid,2023-05-15,INV-003,2023-04-25,2023-05-15,1.0,2023-05-01,ADMIN
EXP-025,FUND-003,Legal Fees,Professional Services,Goodwin Procter LLP,2023-09-05,75000,USD,Legal fees for FinTech Innovations investment,INV-2023-0905,Approved,Paid,2023-09-20,INV-007,2023-08-25,2023-09-20,1.0,2023-09-05,ADMIN
