synonym,normalized_synonym,source_system,industry_id,confidence,effective_from,effective_to,created_at,updated_at
Technology,technology,CRM,IND_TECH,0.71,2010-01-01,,2025-11-24 15:08:59,2025-11-24 15:08:59
Technology (Purpose),technology (purpose),PM,IND_TECH,0.77,2010-01-01,,2025-11-24 15:08:59,2025-11-24 15:08:59
Technology (Brother),technology (brother),CRM,IND_TECH,0.91,2010-01-01,,2025-11-24 15:08:59,2025-11-24 15:08:59
Technology (Ago),technology (ago),ADMIN,IND_TECH,0.91,2010-01-01,,2025-11-24 15:08:59,2025-11-24 15:08:59
Healthcare,healthcare,CRM,IND_HEALTH,0.87,2010-01-01,,2025-11-24 15:08:59,2025-11-24 15:08:59
Healthcare (Site),healthcare (site),CRM,IND_HEALTH,0.71,2010-01-01,,2025-11-24 15:08:59,2025-11-24 15:08:59
Healthcare (Face),healthcare (face),CRM,IND_HEALTH,0.77,2010-01-01,,2025-11-24 15:08:59,2025-11-24 15:08:59
Healthcare (Election),healthcare (election),ADMIN,IND_HEALTH,0.71,2010-01-01,,2025-11-24 15:08:59,2025-11-24 15:08:59
Industrials,industrials,ADMIN,IND_INDUS,0.89,2010-01-01,,2025-11-24 15:08:59,2025-11-24 15:08:59
Industrials (Dog),industrials (dog),ADMIN,IND_INDUS,0.82,2010-01-01,,2025-11-24 15:08:59,2025-11-24 15:08:59
Consumer,consumer,ADMIN,IND_CONS,0.78,2010-01-01,,2025-11-24 15:08:59,2025-11-24 15:08:59
Consumer (Chair),consumer (chair),CRM,IND_CONS,0.92,2010-01-01,,2025-11-24 15:08:59,2025-11-24 15:08:59
Consumer (Since),consumer (since),CRM,IND_CONS,0.9,2010-01-01,,2025-11-24 15:08:59,2025-11-24 15:08:59
Business Services,business services,PM,IND_BUSSVCS,0.75,2010-01-01,,2025-11-24 15:08:59,2025-11-24 15:08:59
Business Services (Blue),business services (blue),PM,IND_BUSSVCS,0.73,2010-01-01,,2025-11-24 15:08:59,2025-11-24 15:08:59
Business Services (Require),business services (require),PM,IND_BUSSVCS,0.73,2010-01-01,,2025-11-24 15:08:59,2025-11-24 15:08:59
Financial Services,financial services,ADMIN,IND_FIN,0.78,2010-01-01,,2025-11-24 15:08:59,2025-11-24 15:08:59
Financial Services (Sit),financial services (sit),CRM,IND_FIN,0.91,2010-01-01,,2025-11-24 15:08:59,2025-11-24 15:08:59
Financial Services (Wait),financial services (wait),ADMIN,IND_FIN,0.74,2010-01-01,,2025-11-24 15:08:59,2025-11-24 15:08:59
Energy,energy,CRM,IND_ENERGY,0.86,2010-01-01,,2025-11-24 15:08:59,2025-11-24 15:08:59
Energy (Offer),energy (offer),ADMIN,IND_ENERGY,0.88,2010-01-01,,2025-11-24 15:08:59,2025-11-24 15:08:59
Energy (Begin),energy (begin),PM,IND_ENERGY,0.87,2010-01-01,,2025-11-24 15:08:59,2025-11-24 15:08:59
